S,G,D,start,stop,asymptote
2,2,2,0.0,0.6666666666666655,0.6666666666666655
4,2,2,0.0,0.39999999999999947,0.39999999999999947
6,2,2,0.0,0.2857142857142844,0.2857142857142844
8,2,2,0.0,0.2222222222222223,0.2222222222222223
10,2,2,0.0,0.18181818181818096,0.18181818181818096
12,2,2,0.0,0.15384615384615347,0.15384615384615347
14,2,2,0.0,0.13333333333333244,0.13333333333333244
2,4,2,0.0,0.39999999999999947,0.39999999999999947
4,4,2,0.0,,0.0
6,4,2,0.0,,0.0
8,4,2,0.0,,0.0
10,4,2,0.0,,0.0
12,4,2,0.0,,0.0
14,4,2,0.0,,0.0
2,6,2,0.0,0.2857142857142844,0.2857142857142844
4,6,2,0.0,,0.0
6,6,2,0.0,,0.0
8,6,2,0.0,,0.0
10,6,2,0.0,,0.0
12,6,2,0.0,,0.0
14,6,2,0.0,,0.0
2,8,2,0.0,0.2222222222222223,0.2222222222222223
4,8,2,0.0,,0.0
6,8,2,0.0,,0.0
8,8,2,0.0,,0.0
10,8,2,0.0,,0.0
12,8,2,0.0,,0.0
14,8,2,0.0,,0.0
2,10,2,0.0,0.18181818181818096,0.18181818181818096
4,10,2,0.0,,0.0
6,10,2,0.0,,0.0
8,10,2,0.0,,0.0
10,10,2,0.0,,0.0
12,10,2,0.0,,0.0
14,10,2,0.0,,0.0
2,12,2,0.0,0.15384615384615347,0.15384615384615347
4,12,2,0.0,,0.0
6,12,2,0.0,,0.0
8,12,2,0.0,,0.0
10,12,2,0.0,,0.0
12,12,2,0.0,,0.0
14,12,2,0.0,,0.0
2,14,2,0.0,0.13333333333333244,0.13333333333333244
4,14,2,0.0,,0.0
6,14,2,0.0,,0.0
8,14,2,0.0,,0.0
10,14,2,0.0,,0.0
12,14,2,0.0,,0.0
14,14,2,0.0,,0.0
2,2,4,0.0,0.7914069985597996,0.7914069985597996
4,2,4,0.0,0.9490382358101637,0.9490382358101637
6,2,4,0.0,0.940698587547862,0.940698587547862
8,2,4,0.0,0.9350952398622339,0.9350952398622339
10,2,4,0.0,0.9312927900152128,0.9312927900152128
12,2,4,0.0,0.9285719594823303,0.9285719594823303
14,2,4,0.0,0.9265359358096434,0.9265359358096434
2,4,4,0.0,0.9490382358101637,0.9490382358101637
4,4,4,0.0,0.7601979045988287,0.7601979045988287
6,4,4,0.0,0.6160752893990753,0.6160752893990753
8,4,4,0.0,0.5145643042204165,0.5145643042204165
10,4,4,0.0,0.44077104503756914,0.44077104503756914
