S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
3,1,20,100,30,0,100,0,130,80.0,30,0.0,0.0,0.030072865982166963,0.030072865982166963,0.030072865982166963,30.01503643299108
4,1,20,100,30,0,100,0,130,80.0,30,0.0,0.0,0.3171211938933993,0.3171211938933993,0.3171211938933993,30.1585605969467
5,1,20,100,30,0,100,0,130,80.0,30,0.0,0.0,1.152921504606852,1.152921504606852,1.152921504606852,30.576460752303426
6,1,20,100,30,0,100,0,130,80.0,30,0.0,0.0,2.608405330458885,2.608405330458885,2.608405330458885,31.30420266522944
7,1,20,100,30,0,100,0,130,80.0,30,0.00861420302331646,0.00861420302331646,4.476502397005505,4.476502397005505,4.582096247806911,32.29104812390346
8,1,20,100,30,0,100,0,130,80.0,30,0.06556497608591784,0.06556497608591784,6.318870548685352,6.318870548685352,6.920875877393029,33.460437938696515
9,1,20,100,30,0,100,0,130,80.0,30,0.12070877236456343,0.12070877236456343,8.724692814340731,8.724692814340731,9.483082985705693,34.741541492852846
10,1,20,100,30,0,100,0,130,80.0,30,0.17701559276377415,0.17701559276377415,11.512796353092755,11.512796353092755,12.157665459056933,36.078832729528465
11,1,20,100,30,0,100,0,130,80.0,30,0.2366157775629755,0.2366157775629755,14.564226935390163,14.564226935390163,14.864362802414355,37.432181401207174
12,1,20,100,30,0,100,0,130,80.0,30,0.30092485897007,0.30092485897007,17.80858743114879,17.80858743114879,17.548046728482745,38.77402336424137
13,1,20,100,30,0,100,0,130,80.0,30,0.3706433509300646,0.3706433509300646,21.20646623797949,21.20646623797949,20.172414101176184,40.086207050588094
14,1,20,100,30,0,100,0,130,80.0,30,0.445893008245705,0.445893008245705,24.734207210834448,24.734207210834448,22.714664813170526,41.357332406585265
2,2,20,100,30,0,100,0,130,80.0,30,0.0,0.0,0.3171211938933993,0.3171211938933993,0.3171211938933993,30.00009536743164
3,2,20,100,30,0,100,0,130,80.0,30,0.0,0.0,2.608405330458885,2.608405330458885,2.608405330458885,30.015084116706905
4,2,20,100,30,0,100,0,130,80.0,30,0.0,0.0,6.920875877393029,6.920875877393029,6.920875877393029,30.15860828066252
5,2,20,100,30,0,100,0,130,80.0,30,0.1441741531302312,0.1441741531302312,10.34288508297922,10.34288508297922,12.157665459056933,30.576508436019246
6,2,20,100,30,0,100,0,130,80.0,30,0.28922887308639933,0.28922887308639933,14.349806866432957,14.349806866432957,17.548046728482745,31.304250348945263
7,2,20,100,30,0,100,0,130,80.0,30,0.44301308864784006,0.44301308864784006,19.084449436323624,19.084449436323624,22.714664813170526,32.29109580761928
8,2,20,100,30,0,100,0,130,80.0,30,0.611655645985979,0.611655645985979,24.347413073495634,24.347413073495634,27.505878988833633,33.460485622412335
