S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
2,2,2,100,49,1,100,0,150,99.5,49,0.6666666666666655,0.6666666666666655,66.86111111111109,66.86111111111109,56.249999999999986,74.24999999999997
1,3,2,100,49,1,100,0,150,99.5,49,1.0,1.0,71.44444444444443,71.44444444444443,44.44444444444444,71.44444444444443
2,3,2,100,49,1,100,0,150,99.5,49,0.499999999999999,0.499999999999999,75.01041666666666,75.01041666666666,69.44444444444444,84.06944444444443
3,3,2,100,49,1,100,0,150,99.5,49,0.0,0.0,79.01234567901231,79.01234567901231,79.01234567901231,93.88888888888889
1,4,2,100,49,1,100,0,150,99.5,49,1.0,1.0,77.40624999999997,77.40624999999997,56.249999999999986,77.40624999999997
2,4,2,100,49,1,100,0,150,99.5,49,0.39999999999999947,0.39999999999999947,80.05999999999999,80.05999999999999,76.56249999999997,90.03124999999999
3,4,2,100,49,1,100,0,150,99.5,49,0.0,0.0,84.02777777777774,84.02777777777774,84.02777777777774,99.85069444444441
4,4,2,100,49,1,100,0,150,99.5,49,0.0,0.0,87.89062499999997,87.89062499999997,87.89062499999997,105.81249999999997
1,5,2,100,49,1,100,0,150,99.5,49,1.0,1.0,81.32,81.32,64.0,81.32
2,5,2,100,49,1,100,0,150,99.5,49,0.3333333333333319,0.3333333333333319,83.40944444444442,83.40944444444442,80.99999999999999,93.945
3,5,2,100,49,1,100,0,150,99.5,49,0.0,0.0,87.1111111111111,87.1111111111111,87.1111111111111,103.76444444444444
4,5,2,100,49,1,100,0,150,99.5,49,0.0,0.0,90.24999999999997,90.24999999999997,90.24999999999997,109.72625
5,5,2,100,49,1,100,0,150,99.5,49,0.0,0.0,92.15999999999997,92.15999999999997,92.15999999999997,113.63999999999999
1,6,2,100,49,1,100,0,150,99.5,49,1.0,1.0,84.06944444444443,84.06944444444443,69.44444444444444,84.06944444444443
2,6,2,100,49,1,100,0,150,99.5,49,0.2857142857142844,0.2857142857142844,85.78741496598636,85.78741496598636,84.02777777777774,96.69444444444443
3,6,2,100,49,1,100,0,150,99.5,49,0.0,0.0,89.1975308641975,89.1975308641975,89.1975308641975,106.51388888888889
4,6,2,100,49,1,100,0,150,99.5,49,0.0,0.0,91.84027777777777,91.84027777777777,91.84027777777777,112.47569444444441
5,6,2,100,49,1,100,0,150,99.5,49,0.0,0.0,93.44444444444441,93.44444444444441,93.44444444444441,116.38944444444444
6,6,2,100,49,1,100,0,150,99.5,49,0.0,0.0,94.52160493827158,94.52160493827158,94.52160493827158,119.13888888888887
1,7,2,100,49,1,100,0,150,99.5,49,1.0,1.0,86.10204081632652,86.10204081632652,73.46938775510205,86.10204081632652
2,7,2,100,49,1,100,0,150,99.5,49,0.24999999999999908,0.24999999999999908,87.56361607142856,87.56361607142856,86.22448979591834,98.72704081632652
3,7,2,100,49,1,100,0,150,99.5,49,0.0,0.0,90.70294784580496,90.70294784580496,90.70294784580496,108.54648526077096
4,7,2,100,49,1,100,0,150,99.5,49,0.0,0.0,92.98469387755101,92.98469387755101,92.98469387755101,114.50829081632651
5,7,2,100,49,1,100,0,150,99.5,49,0.0,0.0,94.36734693877548,94.36734693877548,94.36734693877548,118.42204081632651
6,7,2,100,49,1,100,0,150,99.5,49,0.0,0.0,95.29478458049884,95.29478458049884,95.29478458049884,121.17148526077095
7,7,2,100,49,1,100,0,150,99.5,49,0.0,0.0,95.96001665972508,95.96001665972508,95.96001665972508,123.20408163265306
1,8,2,100,49,1,100,0,150,99.5,49,1.0,1.0,87.66406249999997,87.66406249999997,76.56249999999997,87.66406249999997
2,8,2,100,49,1,100,0,150,99.5,49,0.2222222222222223,0.2222222222222223,88.94174382716048,88.94174382716048,87.89062499999997,100.28906249999997
3,8,2,100,49,1,100,0,150,99.5,49,0.0,0.0,91.84027777777777,91.84027777777777,91.84027777777777,110.10850694444443
4,8,2,100,49,1,100,0,150,99.5,49,0.0,0.0,93.84765624999997,93.84765624999997,93.84765624999997,116.07031249999997
5,8,2,100,49,1,100,0,150,99.5,49,0.0,0.0,95.06249999999997,95.06249999999997,95.06249999999997,119.9840625
6,8,2,100,49,1,100,0,150,99.5,49,0.0,0.0,95.87673611111109,95.87673611111109,95.87673611111109,122.73350694444441
7,8,2,100,49,1,100,0,150,99.5,49,0.0,0.0,96.46045918367344,96.46045918367344,96.46045918367344,124.76610331632651
8,8,2,100,49,1,100,0,150,99.5,49,0.0,0.0,96.89941406249997,96.89941406249997,96.89941406249997,126.32812499999997
1,9,2,100,49,1,100,0,150,99.5,49,1.0,1.0,88.90123456790121,88.90123456790121,79.01234567901231,88.90123456790121
2,9,2,100,49,1,100,0,150,99.5,49,0.19999999999999915,0.19999999999999915,90.04277777777774,90.04277777777774,89.1975308641975,101.52623456790121
