S,G,D,ε,β,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
2,2,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.6144004262969921,0.6144004262969921,55.46399365549955,55.46399365549955,56.249999999999986,54.999999999999986
1,3,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9272469489913506,0.9272469489913506,52.02380133732744,52.02380133732744,44.44444444444444,52.222222222222214
2,3,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.49999999999999917,0.49999999999999917,66.5017361111111,66.5017361111111,69.44444444444444,64.72222222222221
3,3,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.24035457841272126,0.24035457841272126,77.73391361952385,77.73391361952385,79.01234567901231,74.44444444444443
1,4,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9501308730142836,0.9501308730142836,58.45698012772878,58.45698012772878,56.249999999999986,58.124999999999986
2,4,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.4340939177532914,0.4340939177532914,73.03222463112985,73.03222463112985,76.56249999999997,70.62499999999999
3,4,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.16155486864164176,0.16155486864164176,83.35589894678829,83.35589894678829,84.02777777777774,80.3472222222222
4,4,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.10658838831174708,0.10658838831174708,87.76894734528007,87.76894734528007,87.89062499999997,86.24999999999999
1,5,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9580603333656126,0.9580603333656126,62.472580354257175,62.472580354257175,64.0,62.0
2,5,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.39302367939113625,0.39302367939113625,77.26019947586168,77.26019947586168,80.99999999999999,74.49999999999999
3,5,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.1304019312573408,0.1304019312573408,86.66236809209575,86.66236809209575,87.1111111111111,84.22222222222223
