S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
2,2,3,100,49,1,100,0,150,99.5,49,1,4.9e-5,1.0e-6
2,2,3,100,49,1,100,0,150,99.5,49,2,42.18752024999297,1.26562457812514e-6
2,2,3,100,49,1,100,0,150,99.5,49,3,42.18752562888646,1.60180543092819e-6
2,2,3,100,49,1,100,0,150,99.5,49,4,42.18753243654195,2.0272839160803586e-6
2,2,3,100,49,1,100,0,150,99.5,49,5,42.18754105247041,2.565779472434716e-6
2,2,3,100,49,1,100,0,150,99.5,49,6,42.18755195698804,3.2473118675048064e-6
2,2,3,100,49,1,100,0,150,99.5,49,7,42.18756575799119,4.109874633629215e-6
2,2,3,100,49,1,100,0,150,99.5,49,8,42.187583224842584,5.201552957276787e-6
2,2,3,100,49,1,100,0,150,99.5,49,9,42.18760533125716,6.583204047258604e-6
2,2,3,100,49,1,100,0,150,99.5,49,10,42.187633309577244,8.331849338890235e-6
2,2,3,100,49,1,100,0,150,99.5,49,11,42.18766871946102,1.0544967533172672e-5
2,2,3,100,49,1,100,0,150,99.5,49,12,42.18771353481071,1.3345927623380488e-5
2,2,3,100,49,1,100,0,150,99.5,49,13,42.187770253782034,1.6890864506922527e-5
2,2,3,100,49,1,100,0,150,99.5,49,14,42.18784203800028,2.1377380030763927e-5
2,2,3,100,49,1,100,0,150,99.5,49,15,42.18793288873246,2.705555380915035e-5
2,2,3,100,49,1,100,0,150,99.5,49,16,42.18804786981786,3.424187647872873e-5
2,2,3,100,49,1,100,0,150,99.5,49,17,42.18819338975474,4.333688027302402e-5
2,2,3,100,49,1,100,0,150,99.5,49,18,42.1883775586207,5.484744678980117e-5
2,2,3,100,49,1,100,0,150,99.5,49,19,42.18861063964669,6.941503076427378e-5
2,2,3,100,49,1,100,0,150,99.5,49,20,42.188905620495106,8.785136557595362e-5
2,2,3,100,49,1,100,0,150,99.5,49,21,42.18927893589039,0.00011118362867919919
2,2,3,100,49,1,100,0,150,99.5,49,22,42.189751381569344,0.0001407115651063165
2,2,3,100,49,1,100,0,150,99.5,49,23,42.19034926999161,0.00017807972196223648
2,2,3,100,49,1,100,0,150,99.5,49,24,42.19110589142273,0.00022536877023918785
2,2,3,100,49,1,100,0,150,99.5,49,25,42.192063360534796,0.00028521092395569596
2,2,3,100,49,1,100,0,150,99.5,49,26,42.19327494937732,0.0003609357613577424
2,2,3,100,49,1,100,0,150,99.5,49,27,42.19480803342974,0.00045675436997376156
2,2,3,100,49,1,100,0,150,99.5,49,28,42.196747809618714,0.000577991749414297
2,2,3,100,49,1,100,0,150,99.5,49,29,42.199201985014525,0.00073137989734225
2,2,3,100,49,1,100,0,150,99.5,49,30,42.20230668391647,0.0009254270696687939
2,2,3,100,49,1,100,0,150,99.5,49,31,42.20623388080048,0.0011708824463135406
2,2,3,100,49,1,100,0,150,99.5,49,32,42.21120073866374,0.0014813199456964144
2,2,3,100,49,1,100,0,150,99.5,49,33,42.217481317841184,0.0018738702893526373
