S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
100,1,4,10,1,1,10,0,12,6.5,1,1,1.0e-6,1.0e-6
100,1,4,10,1,1,10,0,12,6.5,1,2,9.605946690487988,3.881190237015842e-6
100,1,4,10,1,1,10,0,12,6.5,1,3,9.605908055358496,1.5063573211806516e-5
100,1,4,10,1,1,10,0,12,6.5,1,4,9.605758109107727,5.846337242176309e-5
100,1,4,10,1,1,10,0,12,6.5,1,5,9.605176202474452,0.00022688811026110245
100,1,4,10,1,1,10,0,12,6.5,1,6,9.602918674902515,0.0008803006025358331
100,1,4,10,1,1,10,0,12,6.5,1,7,9.594171304296738,0.003412155890549878
100,1,4,10,1,1,10,0,12,6.5,1,8,9.560439023551194,0.01317630094864131
100,1,4,10,1,1,10,0,12,6.5,1,9,9.432743756918363,0.05014802681384845
100,1,4,10,1,1,10,0,12,6.5,1,10,8.98255558527239,0.18061991895103205
100,1,4,10,1,1,10,0,12,6.5,1,11,7.766384260727272,0.5346309239635504
100,1,4,10,1,1,10,0,12,6.5,1,12,6.422480925181037,0.9364610339270398
100,1,4,10,1,1,10,0,12,6.5,1,13,6.2807937162429335,0.9974452059108222
100,1,4,10,1,1,10,0,12,6.5,1,14,6.283175867295777,0.999897812111627
100,1,4,10,1,1,10,0,12,6.5,1,15,6.28327396749073,0.9999959124907303
100,1,4,10,1,1,10,0,12,6.5,1,16,6.283277891499638,0.999999836499639
100,1,4,10,1,1,10,0,12,6.5,1,17,6.283278048459983,0.9999999934599852
100,1,4,10,1,1,10,0,12,6.5,1,18,6.283278054738398,0.9999999997383991
100,1,4,10,1,1,10,0,12,6.5,1,19,6.283278054989534,0.9999999999895357
100,1,4,10,1,1,10,0,12,6.5,1,20,6.283278054999579,0.9999999999995812
100,1,4,10,1,1,10,0,12,6.5,1,21,6.283278054999982,0.999999999999983
100,1,4,10,1,1,10,0,12,6.5,1,22,6.283278054999998,0.9999999999999991
100,1,4,10,1,1,10,0,12,6.5,1,23,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,24,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,25,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,26,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,27,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,28,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,29,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,30,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,31,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,32,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,33,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,34,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,35,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,36,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,37,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,38,6.2832780549999985,0.9999999999999998
