S,D,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,asymptotic_cost,comp_cost,bespoke_cost
2,2,10,0,100,9,1,0.666666666533331,5.069444445972917,5.069444445972917,5.624999999999998
3,2,10,0,100,9,1,4.049999721561308e-9,7.901234570106168,7.901234570106168,7.90123456790123
4,2,10,0,100,9,1,2.7826086937927046e-10,8.7890625043975,8.7890625043975,8.789062499999996
5,2,10,0,100,9,1,1.6191709840079402e-10,9.216000004452148,9.216000004452148,9.215999999999996
6,2,10,0,100,9,1,1.2319391632891878e-10,9.452160498294663,9.452160498294663,9.452160493827154
7,2,10,0,100,9,1,1.0411968775841733e-10,9.596001670446915,9.596001670446915,9.596001665972507
8,2,10,0,100,9,1,9.283771531313366e-11,9.689941410728373,9.689941410728373,9.689941406249996
9,2,10,0,100,9,1,8.540744597107757e-11,9.754610582136868,9.754610582136868,9.75461057765584
10,2,10,0,100,9,1,8.015389547415361e-11,9.801000004482965,9.801000004482965,9.800999999999995
11,2,10,0,100,9,1,7.624726590555674e-11,9.835393761741498,9.835393761741498,9.835393757257014
12,2,10,0,100,9,1,7.323068229617438e-11,9.86159336868324,9.86159336868324,9.861593364197528
13,2,10,0,100,9,1,7.083229998202534e-11,9.8820069370171,9.8820069370171,9.882006932530368
14,2,10,0,100,9,1,6.888044179603613e-11,9.89821949636599,9.89821949636599,9.89821949187838
15,2,10,0,100,9,1,6.726144606885098e-11,9.911308646463668,9.911308646463668,9.911308641975303
16,2,10,0,100,9,1,6.589711619458454e-11,9.92202759237965,9.92202759237965,9.922027587890621
17,2,10,0,100,9,1,6.473191449587945e-11,9.930915582607687,9.930915582607687,9.930915578118073
18,2,10,0,100,9,1,6.372532355402986e-11,9.93836686929733,9.93836686929733,9.93836686480719
19,2,10,0,100,9,1,6.284709830950174e-11,9.944675076044696,9.944675076044696,9.944675071554082
20,2,10,0,100,9,1,6.207420971617538e-11,9.950062504491036,9.950062504491036,9.950062499999996
2,4,10,0,100,9,1,0.7914069980698821,2.183975262016509,2.183975262016509,3.164062499999999
3,4,10,0,100,9,1,0.8976902950459512,4.166227263094013,4.166227263094013,6.242950769699737
4,4,10,0,100,9,1,0.7601979045233006,6.063178750785208,6.063178750785208,7.724761962890621
5,4,10,0,100,9,1,0.5590168789714977,7.515263112371989,7.515263112371989,8.493465599999993
6,4,10,0,100,9,1,0.301441976137735,8.549550699199482,8.549550699199482,8.934333800106685
7,4,10,0,100,9,1,2.0563544428361825e-8,9.208324784516684,9.208324784516684,9.208324797334717
8,4,10,0,100,9,1,4.727585038812419e-10,9.389496449819953,9.389496449819953,9.38949644565582
9,4,10,0,100,9,1,2.61500304580847e-10,9.515242756509144,9.515242756509144,9.515242752171524
10,4,10,0,100,9,1,1.9042340865469107e-10,9.605960104394057,9.605960104394057,9.605960099999995
11,4,10,0,100,9,1,1.5486818495584573e-10,9.673497040450473,9.673497040450473,9.673497036029028
12,4,10,0,100,9,1,1.335723107608543e-10,9.725102372515915,9.725102372515915,9.725102368078474
13,4,10,0,100,9,1,1.1940987809244767e-10,9.765406105905704,9.765406105905704,9.765406101457831
14,4,10,0,100,9,1,1.0932053300264113e-10,9.797474915395314,9.797474915395314,9.797474910940116
15,4,10,0,100,9,1,1.017732953746681e-10,9.823403904110066,9.823403904110066,9.823403899649438
16,4,10,0,100,9,1,9.591790185182296e-11,9.844663149951074,9.844663149951074,9.844663145486262
17,4,10,0,100,9,1,9.124461715624826e-11,9.862308426438966,9.862308426438966,9.862308421970825
18,4,10,0,100,9,1,8.742942929909711e-11,9.877113598420605,9.877113598420605,9.877113593949753
19,4,10,0,100,9,1,8.425661109742787e-11,9.889656232352035,9.889656232352035,9.889656227878923
20,4,10,0,100,9,1,8.157702170958154e-11,9.900374379865646,9.900374379865646,9.900374375390623
2,8,10,0,100,9,1,2.5113427305486226e-10,1.0011291552735233,1.0011291552735233,1.0011291503906248
3,8,10,0,100,9,1,0.9852705087003382,1.6242444225950852,1.6242444225950852,3.8974434312894557
4,8,10,0,100,9,1,0.9775332956632637,2.5850150509088596,2.5850150509088596,5.967194738332181
5,8,10,0,100,9,1,0.9496668112120609,3.6519351040736123,3.6519351040736123,7.2138957898383325
6,8,10,0,100,9,1,0.9071354378730385,4.680233619875286,4.680233619875286,7.982232045172884
7,8,10,0,100,9,1,0.8506730991671444,5.618722401837101,5.618722401837101,8.47932455732095
8,8,10,0,100,9,1,0.7811857590145724,6.4528707690572125,6.4528707690572125,8.816264350298331
9,8,10,0,100,9,1,0.6996000328289681,7.18202288728539,7.18202288728539,9.053984463275278
10,8,10,0,100,9,1,0.6067820709662719,7.810564360566983,7.810564360566983,9.227446944279198
11,8,10,0,100,9,1,0.5035131709077793,8.34445588927623,8.34445588927623,9.357654490606247
12,8,10,0,100,9,1,0.39048871538536206,8.789862814658747,8.789862814658747,9.457761606960561
13,8,10,0,100,9,1,0.2683253934088103,9.152630385609031,9.152630385609031,9.53631563263899
14,8,10,0,100,9,1,0.13757061940749335,9.43810875589091,9.43810875589091,9.599051463050108
15,8,10,0,100,9,1,9.201761499920394e-8,9.649926336457254,9.649926336457254,9.649926417564785
16,8,10,0,100,9,1,8.706122181059842e-10,9.691739248557298,9.691739248557298,9.69173924480955
17,8,10,0,100,9,1,4.612418518688454e-10,9.72651274513503,9.72651274513503,9.726512741007674
18,8,10,0,100,9,1,3.240411064528095e-10,9.755737299032536,9.755737299032536,9.755737294778706
19,8,10,0,100,9,1,2.553325089853217e-10,9.78053003487918,9.78053003487918,9.780530030562442
20,8,10,0,100,9,1,2.1408870622400818e-10,9.801741281643375,9.801741281643375,9.801741277289134
2,16,10,0,100,9,1,5.954943932473837e-11,0.10022596256799099,0.10022596256799099,0.10022595757618545
3,16,10,0,100,9,1,0.1912824662970459,1.118459095295194,1.118459095295194,1.5190065300101339
4,16,10,0,100,9,1,0.9840295950801601,1.1542338206329839,1.1542338206329839,3.5607413045179275
5,16,10,0,100,9,1,0.9977621549074096,1.4465185294083494,1.4465185294083494,5.204029246664723
6,16,10,0,100,9,1,0.9945524178953197,1.8544412518015003,1.8544412518015003,6.371602842298491
7,16,10,0,100,9,1,0.9886426772921176,2.3366262794572297,2.3366262794572297,7.189894494838615
8,16,10,0,100,9,1,0.9796204559029561,2.855398634826175,2.855398634826175,7.772651709434126
9,16,10,0,100,9,1,0.9672658313284697,3.385309857720086,3.385309857720086,8.197463466123013
10,16,10,0,100,9,1,0.9515093999642986,3.9103644719135957,3.9103644719135957,8.514577710948753
11,16,10,0,100,9,1,0.9323754482421835,4.420883381667963,4.420883381667963,8.756569756556328
12,16,10,0,100,9,1,0.9099418743446775,4.911200827456865,4.911200827456865,8.944925461409722
13,16,10,0,100,9,1,0.8843149287011475,5.378157800107357,5.378157800107357,9.094131584531478
14,16,10,0,100,9,1,0.8556139610540011,5.820153390972724,5.820153390972724,9.214178899028443
15,16,10,0,100,9,1,0.8239624299293611,6.236553298260301,6.236553298260301,9.312107986441475
16,16,10,0,100,9,1,0.7894827256994319,6.6273203744434195,6.6273203744434195,9.392980958938162
17,16,10,0,100,9,1,0.7522932924714811,6.992782431183442,6.992782431183442,9.460505010098464
18,16,10,0,100,9,1,0.7125071291679118,7.333485272271485,7.333485272271485,9.517441016473617
19,16,10,0,100,9,1,0.6702311137367365,7.65009911603922,7.65009911603922,9.565876767873378
20,16,10,0,100,9,1,0.6255658136820086,7.943358808615927,7.943358808615927,9.607413206691362
2,32,10,0,100,9,1,5.016124219050837e-11,0.0010045292571025611,0.0010045292571025611,0.0010045242572065403
3,32,10,0,100,9,1,9.284640153013165e-11,0.23073808878409768,0.23073808878409768,0.2307380838213424
4,32,10,0,100,9,1,0.16658084427875872,0.7688105626633481,0.7688105626633481,1.2678878637700028
5,32,10,0,100,9,1,0.5850934206538551,0.746030300830676,0.746030300830676,2.708192040014181
6,32,10,0,100,9,1,0.9999229170190906,1.0466987651432063,1.0466987651432063,4.05973227799862
7,32,10,0,100,9,1,0.9998500975674899,1.1149153148735138,1.1149153148735138,5.169458284691063
8,32,10,0,100,9,1,0.9996100104881237,1.2218255168478267,1.2218255168478267,6.041411459616927
9,32,10,0,100,9,1,0.9991137458701902,1.366242663231752,1.366242663231752,6.719840727842154
10,32,10,0,100,9,1,0.9982445992031309,1.5435655462279407,1.5435655462279407,7.249803359578532
11,32,10,0,100,9,1,0.9968893975751301,1.747846185886548,1.747846185886548,7.667751390143696
12,32,10,0,100,9,1,0.9949491340906703,1.9730669979777162,1.9730669979777162,8.001169151017596
13,32,10,0,100,9,1,0.9923432643753403,2.2137759310752427,2.2137759310752427,8.270322927677304
14,32,10,0,100,9,1,0.9890100350245445,2.465320497049757,2.465320497049757,8.490109278330104
15,32,10,0,100,9,1,0.9849047197348941,2.7238686900217015,2.7238686900217015,8.671535515114712
16,32,10,0,100,9,1,0.9799970280757057,2.9863332228018784,2.9863332228018784,8.82280912949749
17,32,10,0,100,9,1,0.974268404729354,3.2502624712858923,3.2502624712858923,8.950115504609816
18,32,10,0,100,9,1,0.9677095643816898,3.5137291533132533,3.5137291533132533,9.058168350205438
19,32,10,0,100,9,1,0.9603183904237809,3.7752299986026534,3.7752299986026534,9.150599833813967
20,32,10,0,100,9,1,0.9520982135709241,4.033600653699262,4.033600653699262,9.230238852410762
2,64,10,0,100,9,1,5.00000322902284e-11,1.0590689836554551e-7,1.0590689836554551e-7,1.0090689839259424e-7
3,64,10,0,100,9,1,5.108797071770832e-11,0.005324011331635375,0.005324011331635375,0.005324006332554364
4,64,10,0,100,9,1,9.61757638365049e-11,0.16075396846850631,0.16075396846850631,0.16075396350952673
5,64,10,0,100,9,1,0.07509870049436672,0.5123006484705945,0.5123006484705945,0.7334304125596168
6,64,10,0,100,9,1,0.26705903876655035,0.47965645574165783,0.47965645574165783,1.648142616902387
7,64,10,0,100,9,1,0.5654472123858981,0.6045789706535359,0.6045789706535359,2.6723298957161075
8,64,10,0,100,9,1,0.9997221191241368,1.002837916070823,1.002837916070823,3.649865242439074
9,64,10,0,100,9,1,0.9999986491772915,1.0085154408965498,1.0085154408965498,4.5156259407566175
10,64,10,0,100,9,1,0.9999961383114846,1.0188525594027793,1.0188525594027793,5.255964875255619
11,64,10,0,100,9,1,0.9999893166080634,1.0358525649626675,1.0358525649626675,5.879441138105061
12,64,10,0,100,9,1,0.9999737899007359,1.0609402366242735,1.0609402366242735,6.401870778319566
13,64,10,0,100,9,1,0.9999427980837043,1.095111792076622,1.095111792076622,6.839824132806492
14,64,10,0,100,9,1,0.9998871447636415,1.1389150851985133,1.1389150851985133,7.208195555798694
15,64,10,0,100,9,1,0.9997954160395877,1.192493623281737,1.192493623281737,7.51955281898958
