S,D,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,comp_cost,bespoke_cost
10,81,0,0,10,0,0,0.0,0,0.9999999999159659,0.9999999999159659,5.000001398480227e-10,5.000001398480227e-10,4.430479816261724
10,81,1,0,10,0,1,1.0,1,0.99999999973684,0.99999999973684,1.00000000023684,1.00000000023684,4.430479816261724
10,81,2,0,10,0,2,2.0,2,0.99999999973684,0.99999999973684,1.99999999997368,1.99999999997368,4.430479816261724
10,81,3,0,10,0,3,3.0,3,0.99999999973684,0.99999999973684,2.99999999971052,2.99999999971052,4.430479816261724
10,81,4,0,10,0,4,4.0,4,0.99999999973684,0.99999999973684,3.99999999944736,3.99999999944736,4.430479816261724
10,81,5,0,10,0,5,5.0,5,0.99999999973684,0.99999999973684,4.9999999991842,4.9999999991842,4.430479816261724
10,81,6,0,10,0,6,6.0,6,0.99999999973684,0.99999999973684,5.999999998921039,5.999999998921039,4.430479816261724
10,81,7,0,10,0,7,7.0,7,0.99999999973684,0.99999999973684,6.99999999865788,6.99999999865788,4.430479816261724
10,81,8,0,10,0,8,8.0,8,0.99999999973684,0.99999999973684,7.99999999839472,7.99999999839472,4.430479816261724
10,81,9,0,10,0,9,9.0,9,0.99999999973684,0.99999999973684,8.99999999813156,8.99999999813156,4.430479816261724
10,81,10,0,10,0,10,10.0,10,0.2780163845005544,0.2780163845005544,5.560327689789103,5.560327689789103,4.430479816261724
10,81,0,2,10,0,2,1.0,0,0.9999999999159404,0.9999999999159404,0.0003932546011992716,0.0003932546011992716,4.430479816261724
10,81,1,2,10,0,3,2.0,1,0.99999999973684,0.99999999973684,1.0003932543386096,1.0003932543386096,4.430479816261724
10,81,2,2,10,0,4,3.0,2,0.99999999973684,0.99999999973684,2.0003932540754494,2.0003932540754494,4.430479816261724
10,81,3,2,10,0,5,4.0,3,0.99999999973684,0.99999999973684,3.0003932538122893,3.0003932538122893,4.430479816261724
10,81,4,2,10,0,6,5.0,4,0.99999999973684,0.99999999973684,4.000393253549129,4.000393253549129,4.430479816261724
10,81,5,2,10,0,7,6.0,5,0.99999999973684,0.99999999973684,5.00039325328597,5.00039325328597,4.430479816261724
10,81,6,2,10,0,8,7.0,6,0.99999999973684,0.99999999973684,6.000393253022809,6.000393253022809,4.430479816261724
10,81,7,2,10,0,9,8.0,7,0.99999999973684,0.99999999973684,7.0003932527596495,7.0003932527596495,4.430479816261724
10,81,8,2,10,0,10,9.0,8,0.9999998979940482,0.9999998979940482,8.000392593527314,8.000392593527314,4.430479816261724
10,81,9,2,10,0,11,10.0,9,0.9989582014234933,0.9989582014234933,8.992804999498915,8.992804999498915,4.430479816261724
10,81,10,2,10,0,12,11.0,10,6.106847123943952e-11,6.106847123943952e-11,4.43047981686157,4.43047981686157,4.430479816261724
10,81,0,4,10,0,4,2.0,0,0.9999999999159404,0.9999999999159404,0.0007865087023984034,0.0007865087023984034,4.430479816261724
10,81,1,4,10,0,5,3.0,1,0.99999999973684,0.99999999973684,1.0007865084403793,1.0007865084403793,4.430479816261724
10,81,2,4,10,0,6,4.0,2,0.99999999973684,0.99999999973684,2.000786508177219,2.000786508177219,4.430479816261724
10,81,3,4,10,0,7,5.0,3,0.99999999973684,0.99999999973684,3.000786507914059,3.000786507914059,4.430479816261724
10,81,4,4,10,0,8,6.0,4,0.99999999973684,0.99999999973684,4.000786507650899,4.000786507650899,4.430479816261724
10,81,5,4,10,0,9,7.0,5,0.99999999973684,0.99999999973684,5.0007865073877396,5.0007865073877396,4.430479816261724
10,81,6,4,10,0,10,8.0,6,0.9999998979940482,0.9999998979940482,6.000786013302807,6.000786013302807,4.430479816261724
10,81,7,4,10,0,11,9.0,7,0.999999796250919,0.999999796250919,7.000785315730357,7.000785315730357,4.430479816261724
10,81,8,4,10,0,12,10.0,8,0.9989582014234933,0.9989582014234933,7.994045051916194,7.994045051916194,4.430479816261724
10,81,9,4,10,0,13,11.0,9,0.033838117541424365,0.9979024893469303,4.520994992016136,8.985121921038937,4.430479816261724
10,81,10,4,10,0,14,12.0,10,6.106847123943952e-11,6.106847123943952e-11,4.4304798169615704,4.4304798169615704,4.430479816261724
10,81,0,6,10,0,6,3.0,0,0.9999999999159404,0.9999999999159404,0.0011797628035975353,0.0011797628035975353,4.430479816261724
10,81,1,6,10,0,7,4.0,1,0.99999999973684,0.99999999973684,1.001179762542149,1.001179762542149,4.430479816261724
10,81,2,6,10,0,8,5.0,2,0.99999999973684,0.99999999973684,2.001179762278989,2.001179762278989,4.430479816261724
10,81,3,6,10,0,9,6.0,3,0.99999999973684,0.99999999973684,3.0011797620158287,3.0011797620158287,4.430479816261724
10,81,4,6,10,0,10,7.0,4,0.9999998979940482,0.9999998979940482,4.0011794330783,4.0011794330783,4.430479816261724
10,81,5,6,10,0,11,8.0,5,0.999999796250919,0.999999796250919,5.0011789006537875,5.0011789006537875,4.430479816261724
10,81,6,6,10,0,12,9.0,6,0.999999796250919,0.999999796250919,6.001178696904707,6.001178696904707,4.430479816261724
10,81,7,6,10,0,13,10.0,7,0.9989582014234933,0.9989582014234933,6.9952851043334725,6.9952851043334725,4.430479816261724
10,81,8,6,10,0,14,11.0,8,0.033838117541424365,0.9979024893469303,4.487156874550703,7.987219431692027,4.430479816261724
10,81,9,6,10,0,15,12.0,9,0.033838117541424365,0.9979024893469303,4.520994992092128,8.985121921038957,4.430479816261724
10,81,10,6,10,0,16,13.0,10,6.106847123943952e-11,6.106847123943952e-11,4.4304798170615705,4.4304798170615705,4.430479816261724
10,81,0,8,10,0,8,4.0,0,0.9999999999159404,0.9999999999159404,0.001573016904796667,0.001573016904796667,4.430479816261724
10,81,1,8,10,0,9,5.0,1,0.99999999973684,0.99999999973684,1.0015730166439185,1.0015730166439185,4.430479816261724
10,81,2,8,10,0,10,6.0,2,0.9999998979940482,0.9999998979940482,2.0015728528537924,2.0015728528537924,4.430479816261724
10,81,3,8,10,0,11,7.0,3,0.999999796250919,0.999999796250919,3.0015724855772175,3.0015724855772175,4.430479816261724
10,81,4,8,10,0,12,8.0,4,0.999999796250919,0.999999796250919,4.001572281828136,4.001572281828136,4.430479816261724
10,81,5,8,10,0,13,9.0,5,0.999999796250919,0.999999796250919,5.001572078079056,5.001572078079056,4.430479816261724
10,81,6,8,10,0,14,10.0,6,0.9989582014234933,0.9989582014234933,5.996525156750751,5.996525156750751,4.430479816261724
10,81,7,8,10,0,15,11.0,7,0.033838117541424365,0.9979024893469303,4.45331875708527,6.989316942345116,4.430479816261724
10,81,8,8,10,0,16,12.0,8,0.033838117541424365,0.9979024893469303,4.487156874626694,7.987219431692046,4.430479816261724
10,81,9,8,10,0,17,13.0,9,0.033838117541424365,0.9979024893469303,4.520994992168119,8.985121921038976,4.430479816261724
10,81,10,8,10,0,18,14.0,10,6.106847123943952e-11,6.106847123943952e-11,4.4304798171615705,4.4304798171615705,4.430479816261724
10,81,0,10,10,0,10,5.0,0,0.9999999674170161,0.9999999674170161,0.0019662715235994432,0.0019662715235994432,4.430479816261724
10,81,1,10,10,0,11,6.0,1,0.999999796250919,0.999999796250919,1.0019660705006477,1.0019660705006477,4.430479816261724
10,81,2,10,10,0,12,7.0,2,0.999999796250919,0.999999796250919,2.0019658667515667,2.0019658667515667,4.430479816261724
10,81,3,10,10,0,13,8.0,3,0.999999796250919,0.999999796250919,3.001965663002486,3.001965663002486,4.430479816261724
10,81,4,10,10,0,14,9.0,4,0.999999796250919,0.999999796250919,4.001965459253404,4.001965459253404,4.430479816261724
10,81,5,10,10,0,15,10.0,5,0.9989582014234933,0.9989582014234933,4.997765209168031,4.997765209168031,4.430479816261724
10,81,6,10,10,0,16,11.0,6,0.033838117541424365,0.9979024893469303,4.419480639619836,5.991414452998206,4.430479816261724
10,81,7,10,10,0,17,12.0,7,0.033838117541424365,0.9979024893469303,4.453318757161262,6.989316942345136,4.430479816261724
10,81,8,10,10,0,18,13.0,8,0.033838117541424365,0.9979024893469303,4.487156874702685,7.987219431692067,4.430479816261724
10,81,9,10,10,0,19,14.0,9,0.033838117541424365,0.9979024893469303,4.52099499224411,8.985121921038997,4.430479816261724
10,81,10,10,10,0,20,15.0,10,6.106847123943952e-11,6.106847123943952e-11,4.4304798172615705,4.4304798172615705,4.430479816261724
10,81,0,12,10,0,12,6.0,0,0.9999999349180541,0.9999999349180541,0.0023594490249600293,0.0023594490249600293,4.430479816261724
10,81,1,12,10,0,13,7.0,1,0.999999796250919,0.999999796250919,1.0023592479259158,1.0023592479259158,4.430479816261724
10,81,2,12,10,0,14,8.0,2,0.999999796250919,0.999999796250919,2.002359044176835,2.002359044176835,4.430479816261724
10,81,3,12,10,0,15,9.0,3,0.999999796250919,0.999999796250919,3.002358840427754,3.002358840427754,4.430479816261724
10,81,4,12,10,0,16,10.0,4,0.9989582014234933,0.9989582014234933,3.9990052615853093,3.9990052615853093,4.430479816261724
10,81,5,12,10,0,17,11.0,5,0.033838117541424365,0.9979024893469303,4.385642522154403,4.9935119636512955,4.430479816261724
10,81,6,12,10,0,18,12.0,6,0.033838117541424365,0.9979024893469303,4.419480639695828,5.991414452998225,4.430479816261724
10,81,7,12,10,0,19,13.0,7,0.033838117541424365,0.9979024893469303,4.453318757237253,6.989316942345156,4.430479816261724
10,81,8,12,10,0,20,14.0,8,0.033838117541424365,0.9979024893469303,4.487156874778677,7.987219431692086,4.430479816261724
10,81,9,12,10,0,21,15.0,9,0.033838117541424365,0.9979024893469303,4.520994992320101,8.985121921039017,4.430479816261724
10,81,10,12,10,0,22,16.0,10,6.106847123943952e-11,6.106847123943952e-11,4.4304798173615705,4.4304798173615705,4.430479816261724
10,81,0,14,10,0,14,7.0,0,0.9999999349180541,0.9999999349180541,0.0027526260087162332,0.0027526260087162332,4.430479816261724
10,81,1,14,10,0,15,8.0,1,0.999999796250919,0.999999796250919,1.0027524253511841,1.0027524253511841,4.430479816261724
10,81,2,14,10,0,16,9.0,2,0.999999796250919,0.999999796250919,2.002752221602103,2.002752221602103,4.430479816261724
10,81,3,14,10,0,17,10.0,3,0.9989582014234933,0.9989582014234933,3.000245314002588,3.000245314002588,4.430479816261724
10,81,4,14,10,0,18,11.0,4,0.033838117541424365,0.9979024893469303,4.35180440468897,3.995609474304385,4.430479816261724
10,81,5,14,10,0,19,12.0,5,0.033838117541424365,0.9979024893469303,4.385642522230395,4.993511963651315,4.430479816261724
10,81,6,14,10,0,20,13.0,6,0.033838117541424365,0.9979024893469303,4.41948063977182,5.991414452998246,4.430479816261724
10,81,7,14,10,0,21,14.0,7,0.033838117541424365,0.9979024893469303,4.453318757313244,6.989316942345176,4.430479816261724
10,81,8,14,10,0,22,15.0,8,0.033838117541424365,0.9979024893469303,4.4871568748546675,7.987219431692107,4.430479816261724
10,81,9,14,10,0,23,16.0,9,0.033838117541424365,0.9979024893469303,4.520994992396092,8.985121921039037,4.430479816261724
10,81,10,14,10,0,24,17.0,10,6.106847123943952e-11,6.106847123943952e-11,4.4304798174615705,4.4304798174615705,4.430479816261724
