S,D,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
5,3,1,2,10,0,3,2.0,1,1,1.0e-6,1.0e-6
5,3,1,2,10,0,3,2.0,1,2,2.6542072258561515,0.8847361105920044
5,3,1,2,10,0,3,2.0,1,3,2.0826952402626135,0.9862320069316006
5,3,1,2,10,0,3,2.0,1,4,2.030831119704299,0.9983487505414022
5,3,1,2,10,0,3,2.0,1,5,2.0248167259043774,0.999801863152479
5,3,1,2,10,0,3,2.0,1,6,2.0240979638699663,0.9999762237667363
5,3,1,2,10,0,3,2.0,1,7,2.0240117550419043,0.9999971468547217
5,3,1,2,10,0,3,2.0,1,8,2.0240014105960653,0.9999996576226056
5,3,1,2,10,0,3,2.0,1,9,2.024000169271399,0.9999999589147133
5,3,1,2,10,0,3,2.0,1,10,2.0240000203125663,0.9999999950697656
5,3,1,2,10,0,3,2.0,1,11,2.024000002437508,0.9999999994083719
5,3,1,2,10,0,3,2.0,1,12,2.024000000292501,0.9999999999290046
5,3,1,2,10,0,3,2.0,1,13,2.0240000000351004,0.9999999999914806
5,3,1,2,10,0,3,2.0,1,14,2.024000000004212,0.9999999999989777
5,3,1,2,10,0,3,2.0,1,15,2.024000000000506,0.9999999999998772
5,3,1,2,10,0,3,2.0,1,16,2.024000000000061,0.9999999999999851
5,3,1,2,10,0,3,2.0,1,17,2.0240000000000076,0.9999999999999982
5,3,1,2,10,0,3,2.0,1,18,2.0240000000000014,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,19,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,20,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,21,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,22,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,23,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,24,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,25,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,26,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,27,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,28,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,29,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,30,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,31,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,32,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,33,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,34,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,35,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,36,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,37,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,38,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,39,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,40,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,41,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,42,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,43,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,44,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,45,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,46,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,47,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,48,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,49,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,50,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,51,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,52,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,53,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,54,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,55,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,56,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,57,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,58,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,59,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,60,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,61,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,62,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,63,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,64,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,65,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,66,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,67,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,68,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,69,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,70,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,71,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,72,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,73,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,74,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,75,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,76,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,77,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,78,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,79,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,80,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,81,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,82,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,83,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,84,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,85,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,86,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,87,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,88,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,89,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,90,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,91,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,92,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,93,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,94,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,95,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,96,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,97,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,98,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,99,2.0240000000000005,1.0
5,3,1,2,10,0,3,2.0,1,100,2.0239999999999996,0.9999999999999998
5,3,1,2,10,0,3,2.0,1,101,2.0240000000000005,1.0
5,9,1,2,10,0,3,2.0,1,1,1.0e-6,1.0e-6
5,9,1,2,10,0,3,2.0,1,2,2.0776001695731288,0.6925342555247717
5,9,1,2,10,0,3,2.0,1,3,1.3539022339544413,0.8946041455176152
5,9,1,2,10,0,3,2.0,1,4,1.2865639917614335,0.9626910752577148
5,9,1,2,10,0,3,2.0,1,5,1.2736587400853785,0.9866486851862102
5,9,1,2,10,0,3,2.0,1,6,1.270159712822895,0.9952037815207203
5,9,1,2,10,0,3,2.0,1,7,1.2690365088866358,0.998274685768285
5,9,1,2,10,0,3,2.0,1,8,1.268649309795077,0.9993790583074252
5,9,1,2,10,0,3,2.0,1,9,1.2685121172612468,0.9997764831981364
5,9,1,2,10,0,3,2.0,1,10,1.2684630118451015,0.999919536828951
5,9,1,2,10,0,3,2.0,1,11,1.2684453706364858,0.9999710336313402
5,9,1,2,10,0,3,2.0,1,12,1.2684390245606325,0.9999895721556117
5,9,1,2,10,0,3,2.0,1,13,1.2684367405900112,0.9999962459822834
5,9,1,2,10,0,3,2.0,1,14,1.268435918440505,0.9999986485544335
5,9,1,2,10,0,3,2.0,1,15,1.2684356224770394,0.999999513479701
5,9,1,2,10,0,3,2.0,1,16,1.2684355159315346,0.9999998248527059
5,9,1,2,10,0,3,2.0,1,17,1.2684354775753266,0.9999999369469758
5,9,1,2,10,0,3,2.0,1,18,1.2684354637671138,0.9999999773009111
5,9,1,2,10,0,3,2.0,1,19,1.268435458796161,0.999999991828328
5,9,1,2,10,0,3,2.0,1,20,1.2684354570066176,0.9999999970581979
5,9,1,2,10,0,3,2.0,1,21,1.2684354563623823,0.9999999989409509
