S,D,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
5,3,10,0,10.001,1,1,1,1.0e-6,1.0e-6
5,3,10,0,10.001,1,1,2,8.84735214802834,9.953777095964994e-7
5,3,10,0,10.001,1,1,3,8.84735218432269,9.90777017211761e-7
5,3,10,0,10.001,1,1,4,8.847352220447446,9.861978219150078e-7
5,3,10,0,10.001,1,1,5,8.847352256403411,9.816400232472454e-7
5,3,10,0,10.001,1,1,6,8.84735229219137,9.771035212190502e-7
5,3,10,0,10.001,1,1,7,8.847352327812104,9.725882163083785e-7
5,3,10,0,10.001,1,1,8,8.8473523632664,9.680940094583747e-7
5,3,10,0,10.001,1,1,9,8.847352398555033,9.636208020752022e-7
5,3,10,0,10.001,1,1,10,8.847352433678777,9.591684960258755e-7
5,3,10,0,10.001,1,1,11,8.847352468638404,9.547369936361029e-7
5,3,10,0,10.001,1,1,12,8.847352503434678,9.503261976881425e-7
5,3,10,0,10.001,1,1,13,8.84735253806837,9.459360114186684e-7
5,3,10,0,10.001,1,1,14,8.847352572540231,9.415663385166465e-7
5,3,10,0,10.001,1,1,15,8.84735260685102,9.372170831212168e-7
5,3,10,0,10.001,1,1,16,8.847352641001489,9.328881498195909e-7
5,3,10,0,10.001,1,1,17,8.847352674992392,9.285794436449541e-7
5,3,10,0,10.001,1,1,18,8.847352708824468,9.242908700743814e-7
5,3,10,0,10.001,1,1,19,8.847352742498463,9.200223350267642e-7
5,3,10,0,10.001,1,1,20,8.847352776015116,9.157737448607354e-7
5,3,10,0,10.001,1,1,21,8.847352809375161,9.115450063726245e-7
5,3,10,0,10.001,1,1,22,8.847352842579333,9.073360267944024e-7
5,3,10,0,10.001,1,1,23,8.847352875628353,9.03146713791651e-7
5,3,10,0,10.001,1,1,24,8.847352908522954,8.989769754615256e-7
5,3,10,0,10.001,1,1,25,8.847352941263852,8.9482672033075e-7
5,3,10,0,10.001,1,1,26,8.847352973851768,8.906958573535956e-7
5,3,10,0,10.001,1,1,27,8.847353006287417,8.865842959098923e-7
5,3,10,0,10.001,1,1,28,8.84735303857151,8.824919458030288e-7
5,3,10,0,10.001,1,1,29,8.847353070704754,8.784187172579798e-7
5,3,10,0,10.001,1,1,30,8.847353102687856,8.743645209193308e-7
5,3,10,0,10.001,1,1,31,8.847353134521518,8.70329267849315e-7
5,3,10,0,10.001,1,1,32,8.847353166206434,8.663128695258651e-7
5,3,10,0,10.001,1,1,33,8.8473531977433,8.623152378406665e-7
5,3,10,0,10.001,1,1,34,8.847353229132816,8.58336285097221e-7
5,3,10,0,10.001,1,1,35,8.847353260375666,8.543759240089239e-7
5,3,10,0,10.001,1,1,36,8.847353291472528,8.504340676971454e-7
5,3,10,0,10.001,1,1,37,8.847353322424093,8.465106296893231e-7
5,3,10,0,10.001,1,1,38,8.847353353231036,8.426055239170657e-7
5,3,10,0,10.001,1,1,39,8.847353383894031,8.387186647142622e-7
5,3,10,0,10.001,1,1,40,8.847353414413757,8.348499668151979e-7
5,3,10,0,10.001,1,1,41,8.847353444790881,8.309993453526858e-7
5,3,10,0,10.001,1,1,42,8.847353475026067,8.271667158562008e-7
5,3,10,0,10.001,1,1,43,8.847353505119978,8.233519942500253e-7
5,3,10,0,10.001,1,1,44,8.847353535073278,8.19555096851405e-7
5,3,10,0,10.001,1,1,45,8.847353564886621,8.157759403687119e-7
5,3,10,0,10.001,1,1,46,8.847353594560662,8.120144418996087e-7
5,3,10,0,10.001,1,1,47,8.847353624096053,8.082705189292396e-7
5,3,10,0,10.001,1,1,48,8.847353653493439,8.04544089328408e-7
5,3,10,0,10.001,1,1,49,8.847353682753468,8.008350713517812e-7
5,3,10,0,10.001,1,1,50,8.847353711876782,7.971433836360912e-7
5,3,10,0,10.001,1,1,51,8.847353740864014,7.934689451983488e-7
5,3,10,0,10.001,1,1,52,8.847353769715806,7.898116754340644e-7
5,3,10,0,10.001,1,1,53,8.847353798432788,7.86171494115484e-7
5,3,10,0,10.001,1,1,54,8.847353827015597,7.825483213898202e-7
5,3,10,0,10.001,1,1,55,8.84735385546485,7.789420777775046e-7
5,3,10,0,10.001,1,1,56,8.847353883781173,7.753526841704406e-7
5,3,10,0,10.001,1,1,57,8.847353911965193,7.717800618302652e-7
5,3,10,0,10.001,1,1,58,8.847353940017523,7.682241323866214e-7
5,3,10,0,10.001,1,1,59,8.84735396793878,7.646848178354388e-7
5,3,10,0,10.001,1,1,60,8.847353995729579,7.611620405372207e-7
5,3,10,0,10.001,1,1,61,8.84735402339052,7.576557232153365e-7
5,3,10,0,10.001,1,1,62,8.847354050922224,7.541657889543323e-7
5,3,10,0,10.001,1,1,63,8.847354078325283,7.506921611982305e-7
5,3,10,0,10.001,1,1,64,8.84735410560031,7.472347637488613e-7
5,3,10,0,10.001,1,1,65,8.847354132747888,7.437935207641847e-7
5,3,10,0,10.001,1,1,66,8.847354159768628,7.403683567566219e-7
5,3,10,0,10.001,1,1,67,8.84735418666311,7.369591965914034e-7
5,3,10,0,10.001,1,1,68,8.847354213431933,7.335659654849155e-7
5,3,10,0,10.001,1,1,69,8.847354240075678,7.301885890030632e-7
5,3,10,0,10.001,1,1,70,8.847354266594932,7.268269930596326e-7
5,3,10,0,10.001,1,1,71,8.847354292990278,7.234811039146623e-7
5,3,10,0,10.001,1,1,72,8.847354319262296,7.201508481728304e-7
5,3,10,0,10.001,1,1,73,8.847354345411555,7.168361527818395e-7
5,3,10,0,10.001,1,1,74,8.847354371438637,7.135369450308135e-7
5,3,10,0,10.001,1,1,75,8.847354397344109,7.102531525487014e-7
5,3,10,0,10.001,1,1,76,8.847354423128541,7.069847033026893e-7
5,3,10,0,10.001,1,1,77,8.847354448792496,7.037315255966168e-7
5,3,10,0,10.001,1,1,78,8.84735447433654,7.004935480694056e-7
5,3,10,0,10.001,1,1,79,8.84735449976123,6.972706996934929e-7
5,3,10,0,10.001,1,1,80,8.847354525067129,6.940629097732693e-7
5,3,10,0,10.001,1,1,81,8.847354550254781,6.908701079435292e-7
5,3,10,0,10.001,1,1,82,8.847354575324756,6.87692224167926e-7
5,3,10,0,10.001,1,1,83,8.84735460027759,6.845291887374363e-7
5,3,10,0,10.001,1,1,84,8.847354625113834,6.813809322688216e-7
5,3,10,0,10.001,1,1,85,8.847354649834033,6.782473857031169e-7
5,3,10,0,10.001,1,1,86,8.84735467443873,6.751284803041088e-7
5,3,10,0,10.001,1,1,87,8.847354698928463,6.720241476568224e-7
5,3,10,0,10.001,1,1,88,8.84735472330377,6.68934319666028e-7
5,3,10,0,10.001,1,1,89,8.847354747565188,6.658589285547395e-7
