pop,gen,cost,compositionality,agent
1,1,53.34369999999996,0.0,rational
1,2,22.769762499999995,0.0,rational
1,3,25.82715624999999,0.0,rational
1,4,23.81992812499999,0.03125,rational
1,5,23.633937499999995,0.0625,rational
1,6,24.653068749999992,0.0625,rational
1,7,23.77198749999999,0.09375,rational
1,8,27.278374999999993,0.03125,rational
1,9,23.633937499999995,0.0625,rational
1,10,22.027762499999994,0.09375,rational
1,11,28.173584374999994,0.125,rational
1,12,25.794375,0.21875,rational
1,13,24.343156249999996,0.1875,rational
1,14,24.930199999999996,0.15625,rational
1,15,25.085156249999994,0.09375,rational
1,16,31.477075,0.1875,rational
1,17,32.50414375,0.125,rational
1,18,23.633937499999995,0.0625,rational
1,19,24.25201562499999,0.0625,rational
1,20,22.614806249999994,0.0625,rational
1,21,20.731499999999993,0.0,rational
1,22,25.827156249999994,0.0,rational
1,23,25.82715624999999,0.0,rational
1,24,21.75063124999999,0.0,rational
1,25,21.750631249999994,0.0,rational
1,26,27.865418749999993,0.0,rational
1,27,22.76976249999999,0.0,rational
1,28,22.769762499999995,0.0,rational
1,29,23.78889374999999,0.0,rational
1,30,25.827156249999994,0.0,rational
1,31,27.865418749999993,0.0,rational
2,1,53.34369999999996,0.0,rational
2,2,27.865418749999993,0.0,rational
2,3,29.934715624999995,0.03125,rational
2,4,29.903681249999995,0.0,rational
2,5,21.750631249999994,0.0,rational
2,6,25.827156249999994,0.0,rational
2,7,26.877321874999993,0.03125,rational
2,8,25.093093749999994,0.03125,rational
2,9,24.808024999999994,0.0,rational
2,10,20.731499999999993,0.0,rational
2,11,27.896453124999994,0.03125,rational
2,12,25.82715624999999,0.0,rational
2,13,28.884549999999994,0.0,rational
2,14,24.808024999999994,0.0,rational
2,15,25.85819062499999,0.03125,rational
2,16,22.76976249999999,0.0,rational
2,17,22.76976249999999,0.0,rational
2,18,22.76976249999999,0.0,rational
2,19,21.75063124999999,0.0,rational
2,20,24.839059374999994,0.03125,rational
2,21,21.75063124999999,0.0,rational
2,22,20.731499999999993,0.0,rational
2,23,28.884549999999994,0.0,rational
2,24,31.941943749999997,0.0,rational
2,25,26.846287499999992,0.0,rational
2,26,27.865418749999993,0.0,rational
2,27,26.846287499999992,0.0,rational
2,28,23.788893749999993,0.0,rational
2,29,22.76976249999999,0.0,rational
2,30,26.846287499999995,0.0,rational
2,31,23.78889374999999,0.0,rational
3,1,53.34369999999996,0.0,rational
3,2,30.953846874999993,0.03125,rational
3,3,29.903681249999995,0.0,rational
3,4,27.865418749999993,0.0,rational
3,5,20.731499999999993,0.0,rational
3,6,26.846287499999992,0.0,rational
3,7,23.788893749999996,0.0,rational
3,8,27.865418749999993,0.0,rational
3,9,22.800796874999993,0.03125,rational
3,10,27.865418749999993,0.0,rational
3,11,25.827156249999994,0.0,rational
3,12,23.788893749999993,0.0,rational
3,13,21.750631249999994,0.0,rational
3,14,23.78889374999999,0.0,rational
3,15,26.846287499999995,0.0,rational
3,16,21.75063124999999,0.0,rational
3,17,24.808024999999994,0.0,rational
3,18,30.922812499999992,0.0,rational
3,19,25.858190624999988,0.03125,rational
3,20,22.027762499999994,0.09375,rational
3,21,26.968462499999998,0.15625,rational
3,22,23.633937499999995,0.0625,rational
3,23,30.6129,0.125,rational
3,24,24.498112499999994,0.125,rational
3,25,26.877321874999993,0.03125,rational
