pop,gen,cost,compositionality,agent
1,1,47.876999999999974,0.0,rational
1,2,21.12156799999999,0.04,rational
1,3,21.634343999999988,0.0,rational
1,4,24.103688000000002,0.04,rational
1,5,22.756139999999995,0.04,rational
1,6,21.03791999999999,0.0,rational
1,7,22.869015999999988,0.02,rational
1,8,20.441495999999983,0.0,rational
1,9,24.020039999999995,0.0,rational
1,10,24.020040000000005,0.0,rational
1,11,21.037919999999986,0.0,rational
1,12,23.507264000000006,0.04,rational
1,13,22.422401999999998,0.06,rational
1,14,20.441495999999983,0.0,rational
1,15,19.845071999999984,0.0,rational
1,16,22.27259199999999,0.02,rational
1,17,24.879150000000003,0.02,rational
1,18,22.493453999999993,0.02,rational
1,19,21.563291999999986,0.04,rational
1,20,24.02003999999999,0.0,rational
1,21,22.272591999999985,0.02,rational
1,22,21.563291999999986,0.04,rational
1,23,22.27259199999999,0.02,rational
1,24,22.82719199999999,0.0,rational
1,25,24.061864000000003,0.02,rational
1,26,20.107757999999983,0.02,rational
1,27,22.23076799999999,0.0,rational
1,28,19.845071999999984,0.0,rational
1,29,20.441495999999983,0.0,rational
1,30,21.037919999999986,0.0,rational
1,31,22.82719199999999,0.0,rational
2,1,47.876999999999974,0.0,rational
2,2,19.84507199999998,0.0,rational
2,3,19.248647999999985,0.0,rational
2,4,23.423615999999992,0.0,rational
2,5,19.84507199999998,0.0,rational
2,6,22.230767999999994,0.0,rational
2,7,27.002159999999993,0.0,rational
2,8,18.652223999999986,0.0,rational
2,9,21.037919999999986,0.0,rational
2,10,20.48331999999998,0.02,rational
2,11,18.055799999999987,0.0,rational
2,12,18.652223999999986,0.0,rational
2,13,23.465439999999994,0.02,rational
2,14,23.686301999999987,0.02,rational
2,15,22.82719199999999,0.0,rational
2,16,21.037919999999986,0.0,rational
2,17,22.272591999999996,0.02,rational
2,18,24.282725999999997,0.02,rational
2,19,22.82719199999999,0.0,rational
2,20,22.230767999999994,0.0,rational
2,21,20.441495999999983,0.0,rational
2,22,24.020039999999998,0.0,rational
2,23,20.441495999999983,0.0,rational
2,24,21.079743999999987,0.02,rational
2,25,21.897029999999994,0.02,rational
2,26,22.27259199999999,0.02,rational
2,27,19.84507199999998,0.0,rational
2,28,21.037919999999986,0.0,rational
2,29,21.63434399999999,0.0,rational
2,30,22.827191999999997,0.0,rational
2,31,22.230767999999994,0.0,rational
3,1,47.876999999999974,0.0,rational
3,2,21.037919999999986,0.0,rational
3,3,19.248647999999985,0.0,rational
3,4,18.652223999999986,0.0,rational
3,5,25.809312000000006,0.0,rational
3,6,23.423616000000003,0.0,rational
3,7,21.63434399999999,0.0,rational
3,8,23.465439999999994,0.02,rational
3,9,24.616464000000004,0.0,rational
3,10,23.423615999999992,0.0,rational
3,11,22.230767999999983,0.0,rational
3,12,25.809312000000006,0.0,rational
3,13,21.63434399999999,0.0,rational
3,14,26.405735999999994,0.0,rational
3,15,23.465439999999997,0.02,rational
3,16,21.492239999999985,0.08,rational
3,17,24.737046,0.1,rational
3,18,20.370443999999985,0.04,rational
3,19,24.808098000000005,0.06,rational
3,20,22.493453999999993,0.02,rational
3,21,21.300605999999988,0.02,rational
3,22,22.272591999999996,0.02,rational
3,23,21.676167999999993,0.02,rational
3,24,23.948988,0.04,rational
3,25,22.827191999999997,0.0,rational
