S,D,gen,compositionality
2,2,1,1.0e-9
2,2,2,1.1249999998124986e-9
2,2,3,1.2656249995517562e-9
2,2,4,1.423828124195382e-9
2,2,5,1.6018066393396828e-9
2,2,6,1.8020324687760584e-9
2,2,7,2.027286526764188e-9
2,2,8,2.28069734183911e-9
2,2,9,2.5657845085937026e-9
2,2,10,2.8865075709335477e-9
2,2,11,3.247321015737993e-9
2,2,12,3.653236140728029e-9
2,2,13,4.109890655816617e-9
2,2,14,4.6236269846266e-9
2,2,15,5.201580353696568e-9
2,2,16,5.851777892835544e-9
2,2,17,6.583250123019358e-9
2,2,18,7.4061563802706725e-9
2,2,19,8.331925917519896e-9
2,2,20,9.373416644193426e-9
2,2,21,1.0545093708243683e-8
2,2,22,1.18632304009243e-8
2,2,23,1.334613417465176e-8
2,2,24,1.5014400913085814e-8
2,2,25,1.6891200984952992e-8
2,2,26,1.9002601054576017e-8
2,2,27,2.1377926118691892e-8
2,2,28,2.4050166797837946e-8
2,2,29,2.7056437539115703e-8
2,2,30,3.043849209424558e-8
2,2,31,3.424330343230718e-8
2,2,32,3.8523716141482345e-8
2,2,33,4.333918038090327e-8
2,2,34,4.875657757633774e-8
2,2,35,5.4851149327654066e-8
2,2,36,6.170754242948929e-8
2,2,37,6.942098451920883e-8
2,2,38,7.809860668049625e-8
2,2,39,8.786093137192237e-8
2,2,40,9.884354634599831e-8
2,2,41,1.1119898780736448e-7
2,2,42,1.2509885896480752e-7
2,2,43,1.4073621340108514e-7
2,2,44,1.5832823636246795e-7
2,2,45,1.781192612075584e-7
2,2,46,2.0038416290978957e-7
2,2,47,2.254321757446736e-7
2,2,48,2.5361118818407035e-7
2,2,49,2.8531257464733474e-7
2,2,50,3.2097663121513897e-7
2,2,51,3.6109869079965674e-7
2,2,52,4.0623600270106436e-7
2,2,53,4.57015472096006e-7
2,2,54,5.141423669461673e-7
2,2,55,5.784101132502436e-7
2,2,56,6.507113146768507e-7
2,2,57,7.320501496192296e-7
2,2,58,8.235563178408675e-7
2,2,59,9.265007304000357e-7
2,2,60,1.0423131607493635e-6
2,2,61,1.1726021021398987e-6
2,2,62,1.3191771070956932e-6
2,2,63,1.4840739191898602e-6
2,2,64,1.6695827461244539e-6
2,2,65,1.8782800667325317e-6
2,2,66,2.1130644135860982e-6
2,2,67,2.377196628089134e-6
2,2,68,2.674345147025812e-6
2,2,69,3.0086369493811695e-6
2,2,70,3.3847148708232613e-6
2,2,71,3.8078020816208993e-6
2,2,72,4.283774623194128e-6
2,2,73,4.819243010332448e-6
2,2,74,5.421644031917155e-6
2,2,75,6.099344024489801e-6
2,2,76,6.861755052176492e-6
2,2,77,7.719465605508103e-6
2,2,78,8.684387633043636e-6
2,2,79,9.769921946188742e-6
2,2,80,1.0991144292329552e-5
2,2,81,1.236501467788583e-5
2,2,82,1.3910612845073822e-5
2,2,83,1.5649403168492456e-5
2,2,84,1.7605532645087838e-5
2,2,85,1.9806166109202626e-5
2,2,86,2.228186331956249e-5
2,2,87,2.5067003144239096e-5
2,2,88,2.8200260720772717e-5
2,2,89,3.1725144200612157e-5
2,2,90,3.569059850979344e-5
2,2,91,4.015168448248851e-5
2,2,92,4.517034276321831e-5
2,2,93,5.081625304114583e-5
2,2,94,5.716780049161909e-5
2,2,95,6.431316277355648e-5
2,2,96,7.235153258595616e-5
2,2,97,8.13944926446504e-5
2,2,98,9.156756202583803e-5
2,2,99,0.00010301193516311485
2,2,100,0.00011588643740998178
2,2,101,0.0001303697240237842
3,2,1,1.0e-9
3,2,2,9.876543208024678e-10
