S,D,start,stop,asymptote
2,2,0.0,0.6666666666666655,0.6666666666666655
3,2,0.0,,0.0
4,2,0.0,,0.0
5,2,0.0,,0.0
6,2,0.0,,0.0
7,2,0.0,,0.0
8,2,0.0,,0.0
9,2,0.0,,0.0
10,2,0.0,,0.0
11,2,0.0,,0.0
12,2,0.0,,0.0
13,2,0.0,,0.0
14,2,0.0,,0.0
15,2,0.0,,0.0
16,2,0.0,,0.0
17,2,0.0,,0.0
18,2,0.0,,0.0
19,2,0.0,,0.0
20,2,0.0,,0.0
2,4,0.0,0.7914069985598002,0.7914069985598002
3,4,0.0,0.897690295155964,0.897690295155964
4,4,0.0,0.7601979045988287,0.7601979045988287
5,4,0.0,0.5590168789962648,0.5590168789962648
6,4,0.0,0.3014419759664432,0.3014419759664432
7,4,0.0,,0.0
8,4,0.0,,0.0
9,4,0.0,,0.0
10,4,0.0,,0.0
11,4,0.0,,0.0
12,4,0.0,,0.0
13,4,0.0,,0.0
14,4,0.0,,0.0
15,4,0.0,,0.0
16,4,0.0,,0.0
17,4,0.0,,0.0
18,4,0.0,,0.0
19,4,0.0,,0.0
20,4,0.0,,0.0
2,8,0.0,,0.0
3,8,0.0,0.985270509150695,0.985270509150695
4,8,0.0,0.9775332957704358,0.9775332957704358
5,8,0.0,0.949666811293745,0.949666811293745
6,8,0.0,0.9071354379459584,0.9071354379459584
7,8,0.0,0.8506730992343058,0.8506730992343058
8,8,0.0,0.7811857590749925,0.7811857590749925
9,8,0.0,0.6996000328789408,0.6996000328789408
10,8,0.0,0.606782070998628,0.606782070998628
11,8,0.0,0.503513170909129,0.503513170909129
12,8,0.0,0.39048871532821894,0.39048871532821894
13,8,0.0,0.26832539322360477,0.26832539322360477
14,8,0.0,0.1375706188131134,0.1375706188131134
15,8,0.0,,0.0
16,8,0.0,,0.0
17,8,0.0,,0.0
18,8,0.0,,0.0
19,8,0.0,,0.0
20,8,0.0,,0.0
2,16,0.0,,0.0
3,16,0.0,0.19128246619343675,0.19128246619343675
4,16,0.0,0.9840295986360519,0.9840295986360519
5,16,0.0,0.9977621550478576,0.9977621550478576
6,16,0.0,0.9945524179873778,0.9945524179873778
7,16,0.0,0.988642677369199,0.988642677369199
8,16,0.0,0.9796204559733163,0.9796204559733163
9,16,0.0,0.9672658313952833,0.9672658313952833
10,16,0.0,0.9515094000290059,0.9515094000290059
11,16,0.0,0.9323754483054445,0.9323754483054445
12,16,0.0,0.9099418744067275,0.9099418744067275
13,16,0.0,0.8843149287619431,0.8843149287619431
14,16,0.0,0.8556139611132898,0.8556139611132898
15,16,0.0,0.8239624299867027,0.8239624299867027
16,16,0.0,0.7894827257542009,0.7894827257542009
17,16,0.0,0.7522932925228386,0.7522932925228386
18,16,0.0,0.712507129214772,0.712507129214772
19,16,0.0,0.6702311137776927,0.6702311137776927
20,16,0.0,0.6255658137152316,0.6255658137152316
2,32,0.0,,0.0
3,32,0.0,,0.0
4,32,0.0,0.16658084420080138,0.16658084420080138
5,32,0.0,0.5850934206901198,0.5850934206901198
6,32,0.0,0.9999229174692252,0.9999229174692252
7,32,0.0,0.9998500977117698,0.9998500977117698
8,32,0.0,0.9996100105883844,0.9996100105883844
9,32,0.0,0.9991137459532673,0.9991137459532673
10,32,0.0,0.9982445992773097,0.9982445992773097
11,32,0.0,0.9968893976440364,0.9968893976440364
12,32,0.0,0.9949491341562117,0.9949491341562117
13,32,0.0,0.9923432644386359,0.9923432644386359
14,32,0.0,0.9890100350863031,0.9890100350863031
15,32,0.0,0.9849047197955832,0.9849047197955832
16,32,0.0,0.9799970281356447,0.9799970281356447
17,32,0.0,0.9742684047887624,0.9742684047887624
18,32,0.0,0.9677095644407163,0.9677095644407163
19,32,0.0,0.9603183904825239,0.9603183904825239
20,32,0.0,0.9520982136294432,0.9520982136294432
2,64,0.0,,0.0
3,64,0.0,,0.0
4,64,0.0,,0.0
5,64,0.0,0.0750987003988991,0.0750987003988991
6,64,0.0,0.26705903871931963,0.26705903871931963
7,64,0.0,0.5654472124116101,0.5654472124116101
8,64,0.0,0.9997223023631605,0.9997223023631605
9,64,0.0,0.999998649415536,0.999998649415536
10,64,0.0,0.9999961384503814,0.9999961384503814
11,64,0.0,0.999989316714216,0.999989316714216
12,64,0.0,0.9999737899907585,0.9999737899907585
13,64,0.0,0.9999427981642199,0.9999427981642199
14,64,0.0,0.9998871448379485,0.9998871448379485
15,64,0.0,0.9997954161095645,0.9997954161095645
16,64,0.0,0.9996544295425069,0.9996544295425069
17,64,0.0,0.9994498067451415,0.9994498067451415
18,64,0.0,0.9991665693779417,0.9991665693779417
19,64,0.0,0.9987896856473956,0.9987896856473956
20,64,0.0,0.9983045254362778,0.9983045254362778
2,128,0.0,,0.0
3,128,0.0,,0.0
4,128,0.0,,0.0
5,128,0.0,,0.0
6,128,0.0,0.005555122191718119,0.005555122191718119
7,128,0.0,0.08499265098788815,0.08499265098788815
8,128,0.0,0.19910070708749142,0.19910070708749142
9,128,0.0,0.36536082776107615,0.36536082776107615
10,128,0.0,0.5943467640348874,0.5943467640348874
11,128,0.0,0.8918428139071128,0.8918428139071128
12,128,0.0,0.9999999980929117,0.9999999980929117
13,128,0.0,0.9999999947999957,0.9999999947999957
14,128,0.0,0.9999999833862234,0.9999999833862234
15,128,0.0,0.9999999504748281,0.9999999504748281
16,128,0.0,0.999999866439595,0.999999866439595
17,128,0.0,0.9999996735129966,0.9999996735129966
18,128,0.0,0.9999992697757688,0.9999992697757688
19,128,0.0,0.999998489919821,0.999998489919821
20,128,0.0,0.9999970842451392,0.9999970842451392
2,256,0.0,,0.0
3,256,0.0,,0.0
4,256,0.0,,0.0
5,256,0.0,,0.0
6,256,0.0,,0.0
7,256,0.0,,0.0
8,256,0.0,0.0030374157078507423,0.0030374157078507423
9,256,0.0,0.043251762272211156,0.043251762272211156
10,256,0.0,0.09736293890445634,0.09736293890445634
11,256,0.0,0.17255614379539344,0.17255614379539344
12,256,0.0,0.27436882201282115,0.27436882201282115
13,256,0.0,0.4060318375522593,0.4060318375522593
14,256,0.0,0.5697068135349298,0.5697068135349298
15,256,0.0,0.7671754759579025,0.7671754759579025
16,256,0.0,0.9999999051741286,0.9999999051741286
17,256,0.0,1.0,1.0
18,256,0.0,0.9999999999990707,0.9999999999990707
19,256,0.0,0.9999999999967343,0.9999999999967343
20,256,0.0,0.999999999989081,0.999999999989081
2,512,0.0,,0.0
3,512,0.0,,0.0
4,512,0.0,,0.0
5,512,0.0,,0.0
6,512,0.0,,0.0
7,512,0.0,,0.0
8,512,0.0,,0.0
9,512,0.0,,0.0
10,512,0.0,,0.0
11,512,0.0,0.006427428016946162,0.006427428016946162
12,512,0.0,0.028145853211202693,0.028145853211202693
13,512,0.0,0.05604088837909487,0.05604088837909487
14,512,0.0,0.09287973881345424,0.09287973881345424
15,512,0.0,0.1410982870315464,0.1410982870315464
16,512,0.0,0.20233738737475032,0.20233738737475032
17,512,0.0,0.27768156804652194,0.27768156804652194
18,512,0.0,0.36798321654932015,0.36798321654932015
19,512,0.0,0.4739815945311713,0.4739815945311713
20,512,0.0,0.5963365193132177,0.5963365193132177
